napa | ওষুধ | নাপা (প্যারাসিটামল) | জ্বর ও ব্যথানাশক | ভরা পেটে ১-২টি ট্যাবলেট। ১.২০ টাকা পিস।
evora | ওষুধ | ইভোর | মহিলাদের হরমোনের চিকিৎসায় | ডাক্তারের পরামর্শে সেব্য।
cyclogest | ওষুধ | সাইক্লোজেস্ট | গর্ভাবস্থায় সুরক্ষা নিশ্চিত করতে | সাপোজিটরি বা পিল হিসেবে।
ovulet | ওষুধ | ওভুলেট | বন্ধ্যত্ব ও ওভুলেশন বৃদ্ধিতে | বিশেষ ডোজে সেবনীয়।
clomid | ওষুধ | ক্লোমিড | গর্ভধারণের জন্য চিকিৎসায় | পিরিয়ডের নির্দিষ্ট দিনে।
duphaston | ওষুধ | ডুপাস্টন | গর্ভাবস্থার জটিলতা ও মাসিকে | চিকিৎসকের পর্যবেক্ষণে সেব্য।

atova | ওষুধ | অ্যাটোভা (Atorvastatin) | উপকারিতা: রক্তে চর্বি কমায়। অপকারিতা: মাংসপেশিতে ব্যথা। ব্যবহার: রাতে খাবারের পর ১টি। সতর্কতা: লিভারের সমস্যা থাকলে নিষেধ।
naproxen | ওষুধ | নেপ্রোক্সেন | উপকারিতা: বাতের ও হাড়ের ব্যথায় কার্যকর। অপকারিতা: গ্যাসের সমস্যা। ব্যবহার: ভরা পেটে দিনে ২ বার। সতর্কতা: কিডনি রোগীদের সাবধানে থাকতে হবে।
peridon | ওষুধ | পেরিডন (Domperidone) | উপকারিতা: পেট ফাঁপা ও বমি কমায়। অপকারিতা: মুখে শুষ্কতা। ব্যবহার: খাবারের ১৫ মিনিট আগে। সতর্কতা: হার্টের সমস্যা থাকলে এড়িয়ে চলুন।
metformin | ওষুধ | মেটফরমিন | উপকারিতা: টাইপ-২ ডায়াবেটিস নিয়ন্ত্রণ। অপকারিতা: পেটে ব্যথা বা ডায়রিয়া। ব্যবহার: খাবারের ঠিক পরে। সতর্কতা: বেশি মাত্রায় নিলে সুগার কমে যেতে পারে।
xylomet | ওষুধ | জাইলোমেট ড্রপ | উপকারিতা: বন্ধ নাক তাৎক্ষণিক খোলে। অপকারিতা: নাকে জ্বালাপোড়া। ব্যবহার: প্রতি নাকে ২ ফোঁটা করে ৩ বার। সতর্কতা: ৭ দিনের বেশি ব্যবহার করবেন না।
mupirocin | ওষুধ | মিউপিরোসিন মলম | উপকারিতা: ত্বকের ব্যাকটেরিয়াল ইনফেকশন ও ঘা। অপকারিতা: হালকা চুলকানি। ব্যবহার: আক্রান্ত স্থানে দিনে ৩ বার। সতর্কতা: শুধু বাহ্যিক ব্যবহারের জন্য।
orasol | ওষুধ | ওরাসোল জেল | উপকারিতা: মুখের ভেতর ও জিহ্বার ঘায়ের ব্যথায়। অপকারিতা: স্বাদ নষ্ট হওয়া। ব্যবহার: ঘায়ের জায়গায় লাগিয়ে ১০ মিনিট না খাওয়া। সতর্কতা: গিলে ফেলবেন না।
clonazepam | ওষুধ | ক্লোনাজেপাম | উপকারিতা: দুশ্চিন্তা ও ঘুমের জন্য। অপকারিতা: ঝিমুনি ও ক্লান্তি। ব্যবহার: রাতে ১টি। সতর্কতা: ডাক্তারের প্রেসক্রিপশন ছাড়া কেনা দণ্ডনীয় অপরাধ।
zithrin | ওষুধ | জিথ্রিন (Azithromycin) | উপকারিতা: ইনফেকশন ও গলা ব্যথা। অপকারিতা: পেটে কামড়ানো। ব্যবহার: খাবারের ১ ঘণ্টা আগে। সতর্কতা: ৫ দিনের ফুল কোর্স শেষ করতে হবে।
glonac | ওষুধ | গ্লোনাক (Diclofenac) | উপকারিতা: শরীরের যে কোনো তীব্র ব্যথায়। অপকারিতা: আলসারের ঝুঁকি। ব্যবহার: ভরা পেটে ১টি। সতর্কতা: খালি পেটে খেলে পেটে ঘা হতে পারে।
fluclox | ওষুধ | ফ্লুক্লক্স | উপকারিতা: ফোঁড়া ও স্কিন ইনফেকশন। অপকারিতা: বমি ভাব। ব্যবহার: খালি পেটে দিনে ৪ বার। সতর্কতা: অ্যান্টিবায়োটিক কোর্স সম্পন্ন করুন।
bisolvon | ওষুধ | বাইসলভন | উপকারিতা: কফ পাতলা করে বের করে দেয়। অপকারিতা: পেট খারাপ হতে পারে। ব্যবহার: দিনে ৩ বার ২ চামচ করে। সতর্কতা: ডায়াবেটিস রোগীরা সুগার ফ্রি সিরাপ খুঁজবেন।
ebastin | ওষুধ | এবাস্টিন | উপকারিতা: চুলকানি ও অ্যালার্জি। অপকারিতা: হালকা ঘুম ভাব। ব্যবহার: রাতে ১টি। সতর্কতা: অ্যালকোহল সেবনকারীদের জন্য ক্ষতিকর।
myolax | ওষুধ | মায়োল্যাক্স | উপকারিতা: পেশির খিঁচুনি ও পিঠের ব্যথায়। অপকারিতা: মাথা ঝিমঝিম। ব্যবহার: রাতে ১টি। সতর্কতা: গাড়ি চালানোর আগে খাবেন না।
verit | ওষুধ | ভেরিট | উপকারিতা: মাথা ঘোরা ও ভারসাম্য রক্ষা। অপকারিতা: ক্লান্তিবোধ। ব্যবহার: দিনে ২ বার। সতর্কতা: গর্ভবতী মায়েদের জন্য নিষিদ্ধ।
calbo jr | ওষুধ | ক্যালবো জুনিয়র | উপকারিতা: শিশুদের হাড় ও দাঁতের গঠনে। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: প্রতিদিন ১টি চিবিয়ে খাওয়া। সতর্কতা: অতিরিক্ত খেলে কিডনিতে পাথর হতে পারে।
nystat | ওষুধ | নাইস্ট্যাট ড্রপ | উপকারিতা: শিশুদের মুখের ছত্রাক বা সাদা দাগ। অপকারিতা: বমি ভাব। ব্যবহার: ড্রপার দিয়ে ঘায়ের জায়গায়। সতর্কতা: ব্যবহারের পর কিছুক্ষণ কিছু খাবেন না।
burnsil | ওষুধ | বার্নসিল | উপকারিতা: আগুনে পোড়া জায়গায় কার্যকর। অপকারিতা: চামড়া টানটান হওয়া। ব্যবহার: পোড়া স্থানে ঘন প্রলেপ। সতর্কতা: গভীর ক্ষতে ডাক্তারের পরামর্শ নিন।
gastrolut | ওষুধ | গ্যাস্ট্রোলুট | উপকারিতা: পাকস্থলীর দেয়ালের সুরক্ষা। অপকারিতা: ডায়রিয়া। ব্যবহার: খাবারের ২০ মিনিট আগে। সতর্কতা: কিডনি বিকল রোগীদের নিষেধ।
emistat | ওষুধ | এমিস্ট্যাট | উপকারিতা: বমি বন্ধ করতে সেরা। অপকারিতা: মাথাব্যথা। ব্যবহার: খাবারের ২০ মিনিট আগে। সতর্কতা: বাচ্চাদের ওজনে মেপে সিরাপ দিতে হয়।
azmasol | ওষুধ | এজমাসল (Inhaler) | উপকারিতা: তাৎক্ষণিক শ্বাসকষ্ট দূর করে। অপকারিতা: হাত কাঁপা ও বুক ধড়ফড়। ব্যবহার: ২ পাফ করে মুখে ইনহেল। সতর্কতা: ইনহেলার নেওয়ার পর কুলি করুন।
sucral | ওষুধ | সুক্রাল (Suspension) | উপকারিতা: আলসারের ব্যথায় জেলির মতো কাজ করে। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: খালি পেটে ২ চামচ। সতর্কতা: অন্য ওষুধের সাথে খাবেন না।
dexamethason | ওষুধ | ডেক্সামেথাসন | উপকারিতা: জীবন রক্ষাকারী স্টেরয়েড। অপকারিতা: ওজন বৃদ্ধি ও ইমিউনিটি কমা। ব্যবহার: জরুরি ভিত্তিতে। সতর্কতা: দীর্ঘ সময় খেলে হাড় দুর্বল হয়।
neuro-plus | ওষুধ | নিউরো-প্লাস | উপকারিতা: ব্রেইনের কার্যকারিতা ও স্মৃতিশক্তি। অপকারিতা: অনিদ্রা। ব্যবহার: প্রতিদিন সকালে ১টি। সতর্কতা: ১৮ বছরের নিচে নিষেধ।
osocal d | ওষুধ | ওসোক্যাল ডি | উপকারিতা: হাড়ের ভঙ্গুরতা রোধ। অপকারিতা: গ্যাস বা এসিডিটি। ব্যবহার: দুপুরের খাবারের পর ১টি। সতর্কতা: প্রচুর পানি পান করতে হবে।
folic acid | ওষুধ | ফলিক এসিড | উপকারিতা: রক্তশূন্যতা ও গর্ভবতী মায়েদের জন্য। অপকারিতা: অ্যালার্জি। ব্যবহার: প্রতিদিন ১টি। সতর্কতা: পুরুষদের ক্ষেত্রে শুক্রাণু বৃদ্ধিতে সহায়তা করে।
povidon | ওষুধ | প্রভাইডন (Liquid) | উপকারিতা: জখম জীবাণুমুক্ত রাখা। অপকারিতা: চামড়া কালো হওয়া। ব্যবহার: তুলা দিয়ে ক্ষত পরিষ্কার করা। সতর্কতা: চোখের ভেতরে দেবেন না।
normatens | ওষুধ | নরম্যাটেন্স | উপকারিতা: উচ্চ রক্তচাপ ও দুশ্চিন্তা কমানো। অপকারিতা: যৌন শক্তি হ্রাস। ব্যবহার: প্রতিদিন নির্দিষ্ট সময়ে। সতর্কতা: হঠাৎ বন্ধ করা যাবে না।
ketorolac | ওষুধ | কিটোরোল্যাক | উপকারিতা: অপারেশনের পর তীব্র ব্যথায়। অপকারিতা: কিডনির ক্ষতি। ব্যবহার: ভরা পেটে। সতর্কতা: ৫ দিনের বেশি খাওয়া নিষিদ্ধ।
provair | ওষুধ | প্রোভায়ার (Montelukast) | উপকারিতা: রাতের হাঁপানি ও সর্দি রোধ। অপকারিতা: মেজাজ খিটখিটে হওয়া। ব্যবহার: রাতে ১টি। সতর্কতা: নিয়মিত খেতে হবে।
clofenac | ওষুধ | ক্লোফেনাক (Gel) | উপকারিতা: হাড়ের জয়েন্টে ব্যথা ও ফোলা কমানো। অপকারিতা: চামড়া লাল হওয়া। ব্যবহার: হালকা হাতে মালিশ। সতর্কতা: কাটা জায়গায় লাগাবেন না।
fenix | ওষুধ | ফিনিক্স (Fexofenadine) | উপকারিতা: অ্যালার্জি ও সিজনাল সর্দি। অপকারিতা: মাথাব্যথা। ব্যবহার: রাতে ১টি। সতর্কতা: ফলের রসের সাথে খাওয়া ঠিক নয়।
orsaline n | স্যালাইন | ওআরএস এন | উপকারিতা: পাতলা পায়খানায় পানিশূন্যতা রোধ। অপকারিতা: সোডিয়াম বেড়ে যাওয়া। ব্যবহার: আধা লিটার পানিতে ১ প্যাকেট। সতর্কতা: গরম পানিতে গোলাবেন না।
asofest | ওষুধ | এসোফেস্ট | উপকারিতা: হাড়ের প্রচণ্ড ব্যথায়। অপকারিতা: পেট ফাঁপা। ব্যবহার: ভরা পেটে দিনে ১ বার। সতর্কতা: ব্যথানাশক ওষুধ কিডনির শত্রু।
diclophen | ওষুধ | ডিক্লোফেন (Suppository) | উপকারিতা: জ্বর ও ব্যথায় দ্রুত কাজ করে। অপকারিতা: মলদ্বারে অস্বস্তি। ব্যবহার: পায়ুপথে প্রবেশ। সতর্কতা: শিশুদের জন্য বিশেষ ডোজ।
vasocor | ওষুধ | ভাসোকর | উপকারিতা: হার্টের কার্যকারিতা ঠিক রাখা। অপকারিতা: পা ফোলা। ব্যবহার: প্রতিদিন ১টি সকালে। সতর্কতা: রক্তচাপ মেপে খাওয়া ভালো।
loratin | ওষুধ | লোরাটিন | উপকারিতা: চোখ দিয়ে পানি পড়া ও সর্দি। অপকারিতা: অবসাদ। ব্যবহার: রাতে ১টি। সতর্কতা: লিভার রোগীদের জন্য ডোজ কম হবে।
asalt | ওষুধ | এসাল্ট (Syrup) | উপকারিতা: প্রস্রাবের জ্বালাপোড়া ও এসিডিটি। অপকারিতা: পেট খারাপ। ব্যবহার: পানির সাথে মিশিয়ে দিনে ৩ বার। সতর্কতা: কিডনিতে পাথর থাকলে ব্যবহার্য।
betameson | ওষুধ | বেটামেসন ক্রিম | উপকারিতা: পুরনো চর্মরোগ ও চুলকানি। অপকারিতা: ত্বক পাতলা হওয়া। ব্যবহার: পাতলা করে মাখতে হয়। সতর্কতা: মুখে বেশিক্ষণ রাখবেন না।
gentosep | ড্রপ | জেন্টোসেপ | উপকারিতা: কান ও চোখের ইনফেকশন। অপকারিতা: সাময়িক ঝাপসা দেখা। ব্যবহার: ১ ফোঁটা করে ৩ বার। সতর্কতা: ড্রপারের মুখ স্পর্শ করবেন না।
flu | ওষুধ | ফ্লু (Fluconazole) | উপকারিতা: আঙ্গুলের চিপায় ঘা ও দাউদ। অপকারিতা: লিভার এনজাইম বৃদ্ধি। ব্যবহার: সপ্তাহে ১টি। সতর্কতা: গর্ভবতী মায়েদের জন্য ঝুঁকিপূর্ণ।
mosep | ওষুধ | মোসেপ (Powder) | উপকারিতা: কোষ্ঠকাঠিন্য ও পাইলসের আরাম। অপকারিতা: পেট মোচড়ানো। ব্যবহার: ১ গ্লাস পানিতে ১ চামচ। সতর্কতা: পর্যাপ্ত পানি পান করুন।
normatens | ওষুধ | নরম্যাটেন্স | উপকারিতা: হৃদস্পন্দন স্বাভাবিক রাখা। অপকারিতা: শ্বাসকষ্ট বৃদ্ধি। ব্যবহার: নিয়মিত নির্দিষ্ট সময়ে। সতর্কতা: অ্যাজমা রোগীদের জন্য সতর্ক।
renitid | ওষুধ | রেনিটিড | উপকারিতা: পাকস্থলীর গ্যাস ও আলসার। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: খাবারের আগে বা পরে। সতর্কতা: কিডনি রোগীদের ডোজ পরিবর্তন লাগে।
fixit | ওষুধ | ফিক্সিট | উপকারিতা: অতিরিক্ত এসিডিটি নিয়ন্ত্রণ। অপকারিতা: ভিটামিন বি১২ ঘাটতি। ব্যবহার: সকালে খালি পেটে। সতর্কতা: নিয়মিত খাওয়া শরীরের জন্য খারাপ।
thorlax | ওষুধ | থোরল্যাক্স | উপকারিতা: হাড় ও মাংসপেশির জড়তা। অপকারিতা: হালকা ঘুম। ব্যবহার: রাতে ১টি ভরা পেটে। সতর্কতা: অ্যালার্জি থাকলে সেবন করবেন না।
flonida | ওষুধ | ফ্লোনিডা (Cream) | উপকারিতা: একজিমা ও সোরাইসিস। অপকারিতা: জ্বালাপোড়া। ব্যবহার: আক্রান্ত স্থানে মালিশ। সতর্কতা: কাটা ছেঁড়ায় ব্যবহার নিষেধ।
zinovit | ওষুধ | জিনোভিট (Multivitamin) | উপকারিতা: ভিটামিন ও খনিজ ঘাটতি পূরণ। অপকারিতা: কালো পায়খানা। ব্যবহার: প্রতিদিন ১টি। সতর্কতা: রাতে খাওয়া ভালো।
pedic | ওষুধ | পেডিক (Permethrin) | উপকারিতা: উকুন ও খোসপাঁচড়া দূর করে। অপকারিতা: মাথার চামড়া জ্বলা। ব্যবহার: সারা শরীরে ৮-১০ ঘণ্টা মেখে ধোয়া। সতর্কতা: চোখে লাগাবেন না।
amaryl m | ওষুধ | অ্যামারিল এম | উপকারিতা: রক্তে শর্করার মাত্রা কমানো। অপকারিতা: ওজন বাড়া। ব্যবহার: বড়দের ডায়াবেটিস চিকিৎসায়। সতর্কতা: ব্যায়াম ও ডায়েট জরুরি।
monalisa p | ন্যাপকিন | মোনালিসা প্যান্টি | উপকারিতা: পিরিয়ডে সর্বোচ্চ শোষণ ক্ষমতা। অপকারিতা: র‍্যাশ হতে পারে। ব্যবহার: পিরিয়ড চলাকালীন। সতর্কতা: ৬ ঘণ্টা পর পর বদলান।
sensodyne | টুথপেস্ট | সেনসোডাইন | উপকারিতা: দাঁতের শিরশিরানি ও এনামেল সুরক্ষা। অপকারিতা: নেই। ব্যবহার: সকালে ও রাতে ব্রাশ। সতর্কতা: শিশুদের নাগালের বাইরে রাখুন।
dentogel | ওষুধ | ডেন্টোজেল | উপকারিতা: দাঁতের মাড়ি ব্যথা ও ঘা। অপকারিতা: অবশ ভাব। ব্যবহার: মাড়িতে হালকা মালিশ। সতর্কতা: খাওয়ার ঠিক আগে লাগাবেন না।
l-lysine | ওষুধ | এল-লাইসিন | উপকারিতা: শিশুদের উচ্চতা ও বৃদ্ধি বৃদ্ধিতে। অপকারিতা: ডায়রিয়া। ব্যবহার: সিরাপ আকারে দিনে ২ বার। সতর্কতা: নির্দিষ্ট মেয়াদে খাওয়া ভালো।
vit-d | ওষুধ | ভিট-ডি ৩ | উপকারিতা: হাড়ের ক্যালসিয়াম শোষণ বাড়ায়। অপকারিতা: বমি বমি ভাব। ব্যবহার: সপ্তাহে ১টি (ক্যাপসুল)। সতর্কতা: ভিটামিন-ডি পরীক্ষার পর খাওয়া উচিত।
zora | ওষুধ | জোরা (Pill) | উপকারিতা: মাসিকের অনিয়ম ঠিক করা। অপকারিতা: মাথাব্যথা। ব্যবহার: পিরিয়ডের ৫ম দিন থেকে। সতর্কতা: অবিবাহিতদের প্রেসক্রিপশন ছাড়া নিষেধ।
v-gel | ওষুধ | ভি-জেল | উপকারিতা: গোপন অঙ্গের ইনফেকশন ও চুলকানি। অপকারিতা: জ্বালা। ব্যবহার: ভেজাইনাল ব্যবহারের ক্রিম। সতর্কতা: গর্ভাবস্থায় চিকিৎসকের পরামর্শ নিন।
betadine | ওষুধ | বেটাডিন গার্গল | উপকারিতা: গলা ব্যথা ও টনসিলের ইনফেকশন। অপকারিতা: মুখে বাজে স্বাদ। ব্যবহার: পানির সাথে মিশিয়ে গড়গড়া। সতর্কতা: গিলে ফেলবেন না।
antiflu | ওষুধ | অ্যান্টিফ্লু | উপকারিতা: ফ্লু ভাইরাসের আক্রমণ প্রতিরোধ। অপকারিতা: ক্লান্তি। ব্যবহার: শীতের শুরুতে বা আক্রান্ত হলে। সতর্কতা: ডোজ যেন ভুল না হয়।
b-complex | ওষুধ | বি-কমপ্লেক্স | উপকারিতা: মুখের কোণায় ঘা ও জিভে ঘা। অপকারিতা: প্রস্রাব হলুদ হওয়া। ব্যবহার: দৈনিক ২ বার। সতর্কতা: খাবারের মাঝখানে খেলে ভালো।
hemotag | ওষুধ | হেমোট্যাগ | উপকারিতা: অতিরিক্ত রক্তপাত বন্ধে। অপকারিতা: রক্ত জমাট বাঁধার ঝুঁকি। ব্যবহার: চিকিৎসকের জরুরি নির্দেশে। সতর্কতা: হার্টের রোগীদের জন্য ঝুঁকিপূর্ণ।
xylopin | ওষুধ | জাইলোপিন | উপকারিতা: দাঁত তোলা বা অপারেশনে অবশ করা। অপকারিতা: রক্তচাপ পরিবর্তন। ব্যবহার: শুধু ইনজেকশন আকারে। সতর্কতা: সাধারণ মানুষ ব্যবহার করবেন না।
neurogen | ওষুধ | নিউরোজেন | উপকারিতা: ডায়াবেটিক নিউরোপ্যাথি বা ঝিনঝিন করা। অপকারিতা: ওজন বৃদ্ধি। ব্যবহার: রাতে ১টি। সতর্কতা: কিডনি রোগীদের সতর্কতা প্রয়োজন।
calbo g | ওষুধ | ক্যালবো জি | উপকারিতা: গর্ভবতী মায়েদের জন্য বিশেষ ক্যালসিয়াম। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: প্রতিদিন ১টি। সতর্কতা: রক্তচাপ বেশি থাকলে নিষেধ।
asofest plus | ওষুধ | এসোফেস্ট প্লাস | উপকারিতা: দীর্ঘমেয়াদী কোমর ব্যথায়। অপকারিতা: কিডনি জটিলতা। ব্যবহার: ভরা পেটে ১টি। সতর্কতা: ব্যথানাশক ওষুধ দীর্ঘদিন খাবেন না।
revert d | ওষুধ | রিভার্ট ডি | উপকারিতা: গ্যাসের সাথে বমি বমি ভাব। অপকারিতা: স্তনে ব্যথা হতে পারে। ব্যবহার: খাবারের ২০ মিনিট আগে। সতর্কতা: প্রোল্যাকটিন লেভেল বাড়ায়।
c-vit forte | ওষুধ | সি-ভিট ফোর্টে | উপকারিতা: স্কার্ভি রোগ ও দাঁতের মাড়ির চিকিৎসায়। অপকারিতা: এসিডিটি। ব্যবহার: চিবিয়ে বা চুষে খাওয়া। সতর্কতা: খালি পেটে খাবেন না।
candis | ওষুধ | ক্যান্ডিস | উপকারিতা: হাত ও পায়ের আঙ্গুলের চিপায় ইনফেকশন। অপকারিতা: চামড়া ওঠা। ব্যবহার: ক্রিম হিসেবে লাগাতে হয়। সতর্কতা: ক্ষত শুকানো পর্যন্ত চলবে।
doxacap | ওষুধ | ডক্সাক্যাপ | উপকারিতা: ব্রণের সমস্যা ও শ্বাসযন্ত্রের ইনফেকশন। অপকারিতা: সূর্যালোক সংবেদনশীলতা। ব্যবহার: ভরা পেটে ১টি। সতর্কতা: খাওয়ার পর ১ ঘণ্টা শোবেন না।
maxpro 40 | ওষুধ | ম্যাক্সপ্রো ৪০ | উপকারিতা: দীর্ঘস্থায়ী আলসার নিরাময়। অপকারিতা: ক্যালসিয়াম কমে যাওয়া। ব্যবহার: সকালে খালি পেটে। সতর্কতা: নিয়মিত খাওয়া হাড়ের জন্য ক্ষতিকর।
sergel 20 | ওষুধ | সার্জেল ২০ | উপকারিতা: বুক জ্বালাপোড়া তাৎক্ষণিক কমানো। অপকারিতা: পেট ফাঁপা। ব্যবহার: খাওয়ার আগে। সতর্কতা: দীর্ঘ সময় খেলে কিডনির সমস্যা হতে পারে।
fexo 120 | ওষুধ | ফেক্সো ১২০ | উপকারিতা: সর্দি ও ধুলাবালির অ্যালার্জি। অপকারিতা: মাথাব্যথা। ব্যবহার: রাতে ১টি। সতর্কতা: বাচ্চাদের জন্য সিরাপ ব্যবহার্য।
monas 10 | ওষুধ | মোনাস ১০ | উপকারিতা: অ্যাজমা রোগীদের জন্য সেরা ওষুধ। অপকারিতা: ঘুমের ব্যাঘাত। ব্যবহার: রাতে নির্দিষ্ট সময়ে। সতর্কতা: নিয়মিত ব্যবহার জরুরি।
alatrol 10 | ওষুধ | অ্যালাট্রল ১০ | উপকারিতা: হাঁচি ও নাক চুলকানি। অপকারিতা: সামান্য ঘুম পায়। ব্যবহার: রাতে। সতর্কতা: গাড়ি চালানো বা ঝুঁকিপূর্ণ কাজে সতর্ক।
ceftriaxone | ওষুধ | সেফট্রিয়াক্সন | উপকারিতা: মারাত্মক ইনফেকশন ও টাইফয়েড। অপকারিতা: ডায়রিয়া। ব্যবহার: ইনজেকশন হিসেবে। সতর্কতা: হাসপাতালে দেওয়া নিরাপদ।
metrol 400 | ওষুধ | মেট্রোল ৪০০ | উপকারিতা: আমাশয় ও দাঁতের গোড়ার ইনফেকশন। অপকারিতা: ধাতব স্বাদ মুখে। ব্যবহার: খাবারের পরে। সতর্কতা: মদ্যপান করা নিষিদ্ধ।
flagyl 400 | ওষুধ | ফ্লাজিল ৪০০ | উপকারিতা: পেটের ইনফেকশন ও পরজীবী সংক্রমণ। অপকারিতা: মাথা ঘোরা। ব্যবহার: ৫ দিন কোর্স। সতর্কতা: কোর্স মাঝপথে বন্ধ করবেন না।
ecosprin 75 | ওষুধ | ইকোস্প্রিন ৭৫ | উপকারিতা: রক্ত পাতলা রেখে স্ট্রোক প্রতিরোধ। অপকারিতা: রক্তপাতের ঝুঁকি। ব্যবহার: প্রতিদিন ১টি। সতর্কতা: কাটাছেঁড়া হলে রক্ত বন্ধ হতে দেরি হয়।
clopid 75 | ওষুধ | ক্লোপিড ৭৫ | উপকারিতা: হার্ট অ্যাটাক পরবর্তী সুরক্ষা। অপকারিতা: পেটে জ্বালাপোড়া। ব্যবহার: প্রতিদিন নির্দিষ্ট সময়ে। সতর্কতা: সার্জারির আগে বন্ধ করতে হয়।
lipiget | ওষুধ | লিপিগেট | উপকারিতা: রক্তের কোলেস্টেরল ও ট্রাইগ্লিসারাইড কমানো। অপকারিতা: লিভারের ক্ষতি। ব্যবহার: রাতে শোয়ার আগে। সতর্কতা: লিভার পরীক্ষা করা দরকার।
fenadin 120 | ওষুধ | ফেনাডিন ১২০ | উপকারিতা: অ্যালার্জি ও সিজনাল ফিভার। অপকারিতা: মাথাব্যথা। ব্যবহার: দিনে ১ বার। সতর্কতা: সর্দির তীব্রতায় উপকারী।
entacyd plus | ওষুধ | এন্টাসিড প্লাস | উপকারিতা: গ্যাসের কারণে পেট ফোলার আরাম। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: চিবিয়ে বা সিরাপ আকারে। সতর্কতা: কিডনি রোগী এড়িয়ে চলবেন।
losectil 20 | ওষুধ | লোসেকটিল ২০ | উপকারিতা: পাকস্থলীর এসিড নিয়ন্ত্রণ। অপকারিতা: পেট কামড়ানো। ব্যবহার: খালি পেটে। সতর্কতা: অনেক পুরনো ও বিশ্বস্ত ওষুধ।
torenta 400 | ওষুধ | টোরেন্টা ৪০০ | উপকারিতা: রক্ত চলাচলের উন্নতি ও ব্যথা কমানো। অপকারিতা: বুক ধড়ফড়। ব্যবহার: প্রতিদিন ১টি। সতর্কতা: রক্তচাপ কম থাকলে সাবধানে।
ebastin 10 | ওষুধ | এবাস্টিন ১০ | উপকারিতা: পুরনো চর্মরোগের অ্যালার্জি। অপকারিতা: ঝিমুনি। ব্যবহার: প্রতিদিন ১টি রাতে। সতর্কতা: বাচ্চাদের নাগালের বাইরে রাখুন।
pantix 20 | ওষুধ | প্যানটিক্স ২০ | উপকারিতা: এসিডিটি ও পেট ফাঁপা দূর করা। অপকারিতা: ডায়রিয়া। ব্যবহার: খালি পেটে। সতর্কতা: ওষুধের সাথে পর্যাপ্ত পানি পান করুন।
zinco | ওষুধ | জিঙ্কো | উপকারিতা: শিশুদের পাতলা পায়খানা ও রুচি বাড়ানো। অপকারিতা: বমি। ব্যবহার: ১০ দিন নিয়মিত। সতর্কতা: ডায়রিয়ার সময় রাইস স্যালাইনসহ দিন।
folison | ওষুধ | ফলিসন | উপকারিতা: আয়রন ও ফলিক এসিডের অভাব পূরণ। অপকারিতা: গাঢ় রঙের পায়খানা। ব্যবহার: প্রতিদিন ১টি রাতে। সতর্কতা: চা বা কফির সাথে খাবেন না।
calbo d 500 | ওষুধ | ক্যালবো ডি ৫০০ | উপকারিতা: হাড় ও জয়েন্টের ক্যালসিয়াম ঘাটতি। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: প্রতিদিন দুপুরের পর। সতর্কতা: প্রচুর পানি পান করুন।
alacot eye | ড্রপ | অ্যালাকট আই | উপকারিতা: চোখের চুলকানি ও অ্যালার্জি। অপকারিতা: চোখ জ্বলা। ব্যবহার: প্রতি চোখে ১ ফোঁটা ৩ বার। সতর্কতা: ড্রপারের আগায় হাত দেবেন না।
tusca liquid | ওষুধ | টাসকা লিকুইড | উপকারিতা: খুশখুশে কাশি ও কফ। অপকারিতা: তন্দ্রাচ্ছন্নতা। ব্যবহার: ১-২ চামচ ৩ বার। সতর্কতা: ড্রাইভিং করার সময় এড়িয়ে চলুন।
gastab 20 | ওষুধ | গ্যাসট্যাব ২০ | উপকারিতা: পেটের এসিডিটি কমানো। অপকারিতা: কোষ্ঠকাঠিন্য। ব্যবহার: চিবিয়ে খাওয়ার ট্যাবলেট। সতর্কতা: দ্রুত কাজ করার জন্য কার্যকর।
vergon 24 | ওষুধ | ভারগন ২৪ | উপকারিতা: মাথা ঘোরা ও কানের ভেতর শব্দ। অপকারিতা: বমি ভাব। ব্যবহার: প্রতিদিন ২ বার। সতর্কতা: বয়স্কদের ক্ষেত্রে বিশেষ সতর্কতা।
anaryl 2 | ওষুধ | অ্যানারিল ২ | উপকারিতা: তীব্র সর্দি ও নাকে অ্যালার্জি। অপকারিতা: প্রচণ্ড ঘুম পায়। ব্যবহার: রাতে ১টি। সতর্কতা: দিনের বেলা সেবন করবেন না।
savlon liquid | অ্যান্টিসেপটিক | স্যাভলন লিকুইড | উপকারিতা: কাটাছেঁড়া ও জীবাণু ধ্বংস। অপকারিতা: চামড়া শুষ্ক হওয়া। ব্যবহার: পানিতে মিশিয়ে বা তুলার সাহায্যে। সতর্কতা: বাহ্যিক ব্যবহার্য।
myolax 5 | ওষুধ | মায়োল্যাক্স ৫ | উপকারিতা: মাংসপেশির খিঁচুনি ও শক্ত হয়ে যাওয়া। অপকারিতা: মাথা ঘোরা। ব্যবহার: রাতে ১টি ট্যাবলেট। সতর্কতা: অ্যালকোহল সেবন নিষিদ্ধ।

