napa | ওষুধ | নাপা (প্যারাসিটামল) | জ্বর ও ব্যথায় কার্যকর | দাম ১.২০ টাকা, ভরা পেটে সেব্য।
dextrose | ওষুধ | ডেক্সট্রোজ | শরীরে শক্তির অভাব ও স্যালাইনে | তাৎক্ষণিক শক্তি যোগাতে ব্যবহৃত।
universe | ইংরেজি | মহাবিশ্ব | সমস্ত সৃষ্টিজগত | The universe is incredibly vast.
galaxy | ইংরেজি | ছায়াপথ | নক্ষত্রপুঞ্জ | We live in the Milky Way galaxy.
star | ইংরেজি | তারা | জ্বলজ্বলে নক্ষত্র | Millions of stars shine at night.
planet | ইংরেজি | গ্রহ | সূর্যের চারদিকে ঘূর্ণায়মান | Mars is known as the red planet.
gravity | ইংরেজি | অভিকর্ষ | আকর্ষণ শক্তি | Gravity pulls objects to the earth.
oxygen | ইংরেজি | অক্সিজেন | প্রাণবায়ু | Oxygen is necessary for life.
hydrogen | ইংরেজি | হাইড্রোজেন | হালকা গ্যাস | Sun is mostly made of hydrogen.
science | ইংরেজি | বিজ্ঞান | বিশেষ জ্ঞান | Science explains how things work.
invention | ইংরেজি | উদ্ভাবন | নতুন কিছু তৈরি | Light bulb was a great invention.
discovery | ইংরেজি | আবিষ্কার | অজানা কিছু খুঁজে পাওয়া | Discovery of fire changed history.
সহযোগিতা | বাংলা | Cooperation | একতা বা সাহায্য | সবার সহযোগিতা একান্ত কাম্য।
প্রতিযোগিতা | বাংলা | Competition | পাল্লা দেওয়া | এটি একটি মেধা প্রতিযোগিতা।
অহংকার | বাংলা | Arrogance | দম্ভ বা দাপট | অহংকার মানুষকে ধ্বংস করে।
বিনয় | বাংলা | Humility | নম্রতা | বিনয় মহত্বের লক্ষণ।
নিষ্ঠা | বাংলা | Sincerity | একাগ্রতা | কাজের প্রতি নিষ্ঠা থাকতে হয়।
বিপদ | বাংলা | Danger | আপদ বা মুসিবত | বিপদ দেখে ভয় পেও না।
সম্পদ | বাংলা | Wealth | ধন-দৌলত | বিদ্যাই শ্রেষ্ঠ সম্পদ।
বিলাসিতা | বাংলা | Luxury | আরাম-আয়েশ | অতিরিক্ত বিলাসিতা পরিহার করো।
প্রয়োজন | বাংলা | Necessity | আবশ্যকতা | অভাবই প্রয়োজনের জননী।
অভাব | বাংলা | Scarcity | স্বল্পতা | অভাব থাকলে স্বভাব নষ্ট হয়।
stay safe | অভিবাদন | সাবধানে থেকো | বিদায়ের সময় বিদায়সূচক | Take care and stay safe.
best wishes | অভিবাদন | শুভকামনা | পরীক্ষায় বা শুভ কাজে | Best wishes for your future.
it's my pleasure | অভিবাদন | এটা আমার আনন্দ | ধন্যবাদ জানালে উত্তরে | No problem, it's my pleasure!
get out | অভিবাদন | বাইরে যাও | রাগের মাথায় বা আদেশ দিতে | Get out of this room now!
keep it up | অভিবাদন | চালিয়ে যাও | উৎসাহ দিতে | Good job, keep it up!
i'm on my way | অভিবাদন | আমি পথে আছি | আসছি বোঝাতে | Just five minutes, I'm on my way.
whatever | অভিবাদন | যা খুশি তাই | বিরক্তি প্রকাশে | Whatever, I don't care.
no idea | অভিবাদন | কোনো ধারণা নেই | একদম না জানলে | Sorry, I have no idea about this.
you're welcome | অভিবাদন | আপনাকে স্বাগতম | থ্যাংক ইউ বললে উত্তরে | You're welcome, any time.
trust me | অভিবাদন | আমায় বিশ্বাস করো | ভরসা দিতে | Trust me, I will do it correctly.
clopid | ওষুধ | ক্লোপিড | রক্ত জমাট বাঁধা রোধে | চিকিৎসকের পরামর্শ ছাড়া খাবেন না।
amodis | ওষুধ | অ্যামোডিস | আমাশয় ও পেটের সমস্যায় | খাবারের পর নির্দিষ্ট মাত্রায় সেব্য।
doxiva | ওষুধ | ডক্সিভা | দীর্ঘস্থায়ী হাঁপানি ও কাফ কাশিতে | প্রতিদিন ১টি ট্যাবলেট।
calbo jr | ওষুধ | ক্যালবো জুনিয়র | শিশুদের হাড়ের বৃদ্ধির জন্য | চকলেট ফ্লেভারের ট্যাবলেট।
myolax | ওষুধ | মায়োল্যাক্স | পেশির টান ও খিঁচুনি কমাতে | রাতে ১টি সেব্য।
gastrolut | ওষুধ | গ্যাস্ট্রোলুট | পাকস্থলীর আলসারের জন্য | নির্দিষ্ট মেয়াদে সেবন করতে হয়।
ketotif | ওষুধ | কিটোটিফ | বাচ্চাদের সর্দি ও কাশিতে | সিরাপ আকারে পাওয়া যায়।
oralon | ওষুধ | ওরালন জেল | মুখের ভেতর ঘায়ের ব্যথায় | আক্রান্ত জায়গায় ব্যবহারের ক্রিম।
